date,EST,TAM,value
21/06/2021,SFE,PM2.5,13
22/06/2021,SFE,PM2.5,17
23/06/2021,SFE,PM2.5,9
24/06/2021,SFE,PM2.5,16
25/06/2021,SFE,PM2.5,9
26/06/2021,SFE,PM2.5,7
27/06/2021,SFE,PM2.5,5
28/06/2021,SFE,PM2.5,4
29/06/2021,SFE,PM2.5,9
30/06/2021,SFE,PM2.5,14
01/07/2021,SFE,PM2.5,10
02/07/2021,SFE,PM2.5,9
03/07/2021,SFE,PM2.5,7
04/07/2021,SFE,PM2.5,14
05/07/2021,SFE,PM2.5,17
06/07/2021,SFE,PM2.5,20
07/07/2021,SFE,PM2.5,27
08/07/2021,SFE,PM2.5,20
09/07/2021,SFE,PM2.5,11
10/07/2021,SFE,PM2.5,15
11/07/2021,SFE,PM2.5,21
12/07/2021,SFE,PM2.5,22
13/07/2021,SFE,PM2.5,20
14/07/2021,SFE,PM2.5,14
15/07/2021,SFE,PM2.5,14
16/07/2021,SFE,PM2.5,11
17/07/2021,SFE,PM2.5,20
18/07/2021,SFE,PM2.5,10
19/07/2021,SFE,PM2.5,12
20/07/2021,SFE,PM2.5,16
21/07/2021,SFE,PM2.5,15
22/07/2021,SFE,PM2.5,14
23/07/2021,SFE,PM2.5,18
24/07/2021,SFE,PM2.5,19
25/07/2021,SFE,PM2.5,13
26/07/2021,SFE,PM2.5,13
27/07/2021,SFE,PM2.5,14
28/07/2021,SFE,PM2.5,15
29/07/2021,SFE,PM2.5,12
30/07/2021,SFE,PM2.5,7
31/07/2021,SFE,PM2.5,16
